Gaelg
*Greetings|Bannaghtyn
As far as I can remember.|Choud's ta cooinaght aym.
As far as I am aware.|Choud's ta fys aym.
As you like.|Myr share lhiat hene.
As yet, nothing has been done.|Cha nel red erbee er ve jeant foast.
Anything rather than that.|Red erbee agh shen.
Well, as I was telling you.|She, myr va mee ginsh dhyt.
At your earliest convenience.|Cha lheah's vees caa eu.
Back to the drawing-board.|Er ash gys y vun.
A little bird told me.|Cheayll mee veih ny ferrishyn eh.
A change of air will do you good.|Nee maylart speyrey foays dhyt.
Always at your service.|Cha nel eh ort agh dy yeearree orrym.
By all means.|Er dagh ooilley chor.
But I tell you I saw it.|Agh ta mee ginsh dhyt dy vaik mee eh.
But for you I was done for.|Myr ragh uss va mee rey.
Be well assured.|Ny bee ourys ort.
Be reasonable.|Gow dty resoon hood.
Be that as it may.|Bee shen myr t'eh.
Briefly this is the story.|Dy yannoo skeeal giare jeh, er hoh yn skeeal.
Boys will be boys.|Cha nod oo cur kione creeney er guilley aeg.
Both these stories must be told.|Shegin da'n daa skeeal shoh goll er insh.
Both you and I.|Chammah uss as mish.
I am pleased to make your acquaintance.|S'taittin lhiam jannoo ainjys rhyt.
The fault lies with you.|Orts yn loght.
The fault lies at my door.|Ta'n foill ny lhie orrym pene.
Strike while the iron is hot.|Bwoaill choud as ta'n yiarn cheh.
Better late than never.|Share anmagh na gyn dy bragh.
Better late than never.|Ny share anmagh ny dyn dy bragh.
Between you and I.|Eddyr uss as mish.
Everything went off well.|Dirree eh dy mie lesh dagh ooilley red.
Everything turns on your answer.|Ta dagh ooilley nhee croghey er dty 'reggyrt.
Everything is in a mess.|Ta dagh ooilley nhee bun ry skyn.
Everything is in my favour.|Ta gagh nhee cheet lhiams.
We can dispense with that now.|Fodmayd geddyn rey rish shen nish.
We are only young once.|Cha nel shin aeg agh yn un cheayrt.
We are making slow progress.|Ta shin goll er oai dy moal.
We are making headway.|Ta shin goll er nyn doshiaght.
We must take the good and the bad.|Shegin dooin goaill ny heairkyn marish y cheh.
We are all agreed on that point.|Ta shin ooilley ayns coardailys rish shen.
We are all in the same boat.|Ta shin ooilley 'syn un vucklagh.
We are at cross-purposes.|Ta neuhoiggalys eddyr ain.
We are at cross-purposes.|Cha nel shin er y raad cheddin.
I am not referring to you.|Cha nel mee cheet orts.
I am disposed to help you.|Ta mee cleaynit dy dty chooney.
I blame you.|Ta mee dy dty loghtaghey.
I called after you.|Deie mee ort.
I call on you to tell the truth.|Ta mee cur ort dy insh yn irriney.
I call on you for help.|Ta mee geearree cooney voyd.
I am smoothing the way for you.|Ta mee jannoo yn raad rea dhyt.
I am telling you that on the quiet.|Ta mee ginsh shen dhyt eddyr ain hene.
I agree with you absolutely.|Ta mee cordail rhyt dy bollagh.
I quite agree with you.|Ta mee mayrt.
I do not agree with you.|Cha nel mee ayns coardailys rhyt.
I disagree with you.|Ta meechoardail eddyr ain.
I hear you.|Ta mee dy dty chlashtyn.
I hold you responsible for it.|Faagym ort eh.
I hope I am not imposing on you.|Ta treisht orrym nagh vel mee cur ort.
I hope and expect that you will come.|Ta doghys as jerkallys aym dy jig oo.
I intended it for a compliment for you.|By vian lhiam dy dty voylley.
I have finished with you.|Ta mee rey rhyt.
I have a little job of work for you.|Ta startey beg aym dhyt.
I have a question for you.|Ta feysht aym ort.
I rely on you.|Ta mee cur barrant ort.
I promise you that.|Ta mee gialdyn shen dhyt.
I shall have finished before you.|Bee jerrey jeant aym royd.
I shall not warn you again.|Ta shen yn fockle jerrinagh yiow oo voyms.
I pray you.|My sailliu.
I never pass there but I think of you.|Cha nel mee goll shaghey gyn smooinaghtyn ort.
I do not begrudge it to you.|Cha mooar lhiam dhyts eh.
I don't believe you.|Cha nel mee dy dty chredjal.
I don't get you.|Cha nel mee toiggal oo.
I cannot speak to any of you.|Cha jargym loayrt rish fer erbee jeu.
I cannot speak to any of you.|Cha jargym taggloo rish fer erbee jiu.
I defy you to do your worst.|Ta mee cur y lane feue dy yannoo y chooid smessey eu.
I did it especially for you.|Ren mee eh er e hon hene.
I credited you with more sense.|Heill mee dy row ny smoo keeayl ayd.
I guess you are right.|Er lhiam dy vel oo kiart.
I had the same trouble as you.|Va'n boirey cheddin orrym as v'orts.
I feel called upon to warn you.|She my churrym er lhiam dy chur raaue dhyt.
I excuse you.|Ta mee goaill dty leshtal.
I give you my word.|Ta mee cur dhyt my vreearrey.
I give you my word for it.|M'ockle dhyt er.
I give you charge of this.|Ta mee cur shoh fo dty churrym.
I waited two full hours for you.|Duirree mee daa oor nyn drooid er dty hon.
I waited up for you.|Hannee mee my hoie fuirraghtyn ort.
I was simply telling you.|Cha row mee agh ginsh dhyt.
I trust you.|Ta treisht aym ort.
I trust you.|Ta mee treishteil oo.
I think like you.|Ta mee jeh'n un aigney lhiat.
I will give you this.|Verym shoh dhyt.
I will be with you in spirit.|Beeym cooinaghtyn ort.
I will pray for you.|Gueeym er dty hon.
I will see you during the week.|Heeym oo er y chiaghtin.
I will send you such as I have.|Verym dhyt ny t'aym.
I will see you tomorrow.|Heeym oo mairagh.
I will see you on Saturday.|Heeym oo Jesarn.
I shall see you again on Monday.|H'eem shiu reesht Jyluain.
I wish you would come.|Saillym dy darragh oo.
I beg you to answer me.|Ta mee guee erriu dy ansoor mee.
I hope you will keep your promise.|Ta mee jerkal dy vreill shiu nyn ghialdyn.
I shall have the pleasure of seeing you next week.|Bee taitnys aym jeeaghyn shiu yn chiaghtyn shoh cheet.
I want you to be studious.|Saillym shiu dy ve studeyragh.
I am glad that you are of our opinion.|Ta mee boggoil dy vel shiuish smooinaghtyn myr ta shinyn.
I wish you had more time.|Saillym dy beagh tooilley traa eu.
I should be glad if you were nearer.|Veign boggoil dy beagh shiu ny s'niessey.
I want you to be satisfied.|Saillym shiu dy ve jeant magh.
I am sorry that you have been so unfortunate.|S'treih lhiam dy vel shiu er ve cha drogh haghyrtagh.
I hope you will be satisfied.|Ta mee jerkal dy bee shiu jeant magh.
I give you ten minutes more.|Verym dhyt jeih minnidyn tooilley.
I do not use any ceremony with you.|Cha nel mee shassoo er cliaghtey er nyn son eu.
I would not like to trouble you.|Cha b'laik lhiam boirey shiu.
I can't say anything that you do not already know.|Cha n'oddym gra veg, nagh vel fys hannah ayd.
I can't tell you how pleased I am to see you again.|Cha n'oddym gra rhyt yn taitnys t'aym fakin shiu reesht.
I did it because you commanded me.|Ren mish eh er yn oyr dy dug oo anney dou.
I thought you were older.|Heill mee dy row shiu ny shinney.
I am older than you.|Ta mish ny shinney na shiuish.
I hope you are in good health.|Ta mee treishteil dy vel shiu ayns slaynt vie.
I thought you were ill.|Heill mee dy row shiu ching.
I can't tell you exactly.|Cha n'oddym insh diu dy-kiart.
I confess to you that I suspect you a little.|Ta mee goaill-rish dy row ourys beg aym erriu.
I praise you for your zeal.|Ta mee moylley shiu son nyn yeeanid.
I beg you not to go so far.|Ta mee guee ort dyn dy gholl choud.
I had never seen you before.|Cha row mee rieau er n'akin oo roie.
I never saw the person of whom you speak.|Cha vaik mee rieau yn persoon mychionesyn t'ou loayrt.
You are able.|T'ou lajer.
You are able.|T'ou abyl.
You are able.|Foddee oo.
You are absolutely correct.|Ta shiu slane kiart.
You are all alike.|Ta shiu ooilley gollrish y cheilley.
You are a liar.|T'ou uss dty vreagerey.
You are a liar.|T'ou uss breagagh.
You are running your head against a brick wall.|T'ou foaddey aile fo'n cheayn.
You are right.|Ta'n kiart ayds.
You are the man for my money.|T'ou uss my ghooinney.
You are the envy of the town.|Ta'n clane balley jannoo troo mood.
You are right.|T'ou kiart.
You are on dangerous ground.|T'ou shooyl er rio thanney.
You are not yourself today.|Cha nel oo ayd hene jiu.
You are on the wrong track.|T'ou er shaghryn.
You are raving.|T'ou rouailley.
You are quite right.|T'ou slane kiart.
You are the master.|Uss yn mainshtyr.
You are wrong.|Cha nel oo kiart.
You can but try.|S'liooar dhyt geabbey.
You are the salt of the earth.|Shiuish sollan y thallooin.
You are under an illusion.|T'ou mollit.
You are under an illusion.|Ta dallaghey dhoo ort.
You are up against difficulties.|Ta raad garroo royd.
You are in a minority of one.|T'ou lhiat hene ayns dty varel.
You are alone.|T'ou dty lomarcan.
You are free to do that.|T'ou seyr dy yannoo shen.
You are free to do that.|Foddee oo jannoo shen.
You are free to do as you please.|Foddee oo jannoo dty red hene.
You are at liberty to do it.|Ta kied ayd dy yannoo eh.
You are in charge.|T'ou ny curmeyder.
You are mistaken.|Ta marranys ort.
You are mistaken.|T'ou fo varranys.
You are most welcome to come.|Tar as failt ort.
You are not very polite.|Cha nel oo ro chooyrtoil.
You are not much use.|S'beg yn ymmyd oo.
You are no better than him.|Cha nel oo veg share na eshyn.
You are made for this work.|Rug oo ry-hoi'n obbyr shoh.
You are inviting trouble.|T'ou tayrn boirey ort hene.
You are just as one would expect.|T'ou myr by chooie dhyt.


*Activities|Roortyssyn
I am about to have a bath.|Ta mee er-chee oonlaghey mee-hene.
I am cooking.|Ta mee jannoo coagyraght.
I am lying down.|Ta mee my lhie.
Watching a football match.|Jeeaghyn er cloie bluckan coshey.
I am minding the child.|Ta mee goaill kiarail jeh'n lhiannoo.
I spent a day in the country.|Cheau mee laa er y cheer.
I had a look round the town.|Yeeagh mee er y valley.
I walked the whole town.|Hooill mee y balley.
I like walking.|S'mie lhiam y chosheeaght.
I am going to the shops.|Ta mee goll gys ny shappyn.
I have some shopping to do.|T'eh orrym kionnaghey red ny ghaa.
I have a window to clean.|Ta uinnag aym ry-ghlenney.
I have a letter to write.|Ta screeuyn aym ry screeu.
I have just been writing.|Ta mee kiart er ve screeu.
I have not been to church.|Cha row mee ec y cheeill.
A walk over the mountains.|Cosheeaght harrish ny sleityn.
I am travelling.|Ta mee troailt.
I was out riding.|Va mee mooie markiagh.
I am going across the road.|Ta mee goll tessyn y raad.
I am going along the road.|Ta mee goaill yn raad.
I am cleaning my my hands.|Ta mee glenney my laueyn.
I am cleaning my my hands.|Ta mee goonlaghey my laueyn.
I am clearing out rubbish.|Ta mee ceau magh trustyr.
I am dieting.|Ta mee fo leodys-bee.
I was reading.|Va mee lhaih.
I read the book from cover to cover.|Lhaih mee y lioar voish toshiaght gys jerrey.
I read it several times over.|Lhaih mee eh reesht as reesht.
I had a spate of work.|Haink thooilley obbyr aym.
I am killing time.|Ta mee cur stiagh yn traa.
I am playing.|Ta mee cloie.
I like the pipes.|S'mie lhiam y phiobberaght.
I must get my hair cut.|Shegin dou geddyn m'olt giarit.
I must shave.|Shegin dou baarey.
I would like a wash.|By vie lhiam oonley.
I went to the tailor.|Hie mee hug yn thalhear.
I cut the grass.|Vuinn mee y faiyr.
I favour going fishing.|Ta mish son goll dy eeastagh.
Playing whist.|Cloie quiss.
Playing ducks and drakes.|Jollickey.
Playing dominoes.|Cloie dooreydaneyn.
Playing darts.|Cloie steabyn.
Playing darts in the pub.|Cloie steabyn 'sy thie oast.
Playing squash.|Cloie squash.
Playing backgammon.|Cloie ec y tawlish mooar.
Playing bridge all night.|Cloie biritch fud ny hoie.
Playing bo-peep.|Cloie follaghey.
Playing billiards.|Cloie billiardyn.
Working on a book.|Screeu lioar.


*Where?|C'raad?
At home.|Sthie.
At home.|Ec y thie.
Away from home.|Ass y thie.
Away from home.|Ass y valley.
In the countryside.|Er y cheer.
At the wedding.|Ec y vannish.
At church.|'Sy cheeill.
At school.|Ec y scoill.
At the far end of the town.|Ec kione y valley.
At the fair.|Ec y vargey.
Along the seashore.|Rish oirr ny marrey.
All over the world.|Er feie ny cruinney.
Beside the river.|Riosh yn awin.
Somewhere else.|Boayl ennagh elley.
In the desert.|'Syn aasagh.

*When?|Cuin?
**Time of Day|Laa
Four o'clock in the morning.|Kiare er y chlag 'sy voghrey.
Five o'clock in the morning.|Queig er y chlag 'syn voghrey.
The first light of dawn.|Breckey yn laa.
Daybreak.|Brishey-laa.
At cock-crow.|Ec gerrym y chellee.
At cock-crow.|'Sy vadran.
The day is dawning.|Ta'n laa dowaney.
The sun is rising.|Ta'n ghrian g'irree.
Close on nine o'clock.|Bunnys nuy er y chlag.
At ten o'clock in the forenoon.|Ec jeih er y chlag 'sy voghrey.
The sun is getting higher.|Ta'n ghrian gyrjaghey.
All morning through.|Car y voghree.
It hasn't struck twelve yet.|Cha nel eh er woalley munlaa foast.
It's noon.|Te munlaa.
At noon.|Ec munlaa.
At noon.|Er y vunlaa.
A bit after midday.|Red beg lurg munlaa.
It's exactly half-past twelve.|Te lieh oor lurg munlaa.
It's one o'clock.|Te nane er y chlag.
It's quarter past one.|Te kerroo oor lurg nane.
It's half-past one at least.|Te lieh oor lurg nane ec y chooid sloo.
It's about a quarter to two.|Te mysh kerroo dys jees.
It's about ten minutes to two.|Te mysh jeih minnidyn dys jees.
It is half past two.|T'eh lieh oor lurg jees.
It's nearly three.|Te bunnys tree.
It will soon strike three.|Bwoaillee eh tree dy-gerrid.
It is about four o'clock.|T'eh mysh kiare er y chlag.
It is four o'clock or thereabouts.|T'eh kiare er y chlag ny myr shen.
At four p.m.|Ec kiare er y chlag 'syn astyr.
At four o'clock sharp.|Ec bwoalley yn kiare.
It has just struck four.|Te er woalley kiare.
It's past four by my watch.|Te lurg kiare liorish yn ooreyder ayms.
It's twenty minutes past four.|Te feed minnid lurg kiare.
During the late afternoon.|Anmagh er yn astyr.
The very late afternoon.|Yn fastyr beg.
The sun is declining.|Ta'n ghrian goll sheese.
The sun is declining.|Ta'n ghrian goll dy lhie.
The day is declining.|Ta'n laa goll ass.
The sun is down.|Ta'n ghrian er n'gholl dy lhie.
It is growing dark.|T'eh keeiraghey.
At the hour of seven.|Ec shiaght er y chlag.
Early last evening.|Fastyr jea.
The evening arrived.|Haink yn fastyr er.
The evening, just before dark.|Yn cheerid.
The evening, just before dark.|Beeal ny h-oie.
It is growing late.|T'eh lesh yn anmys.
Ten o'clock at night.|Jeih er y chlag 'syn oie.
The time for sleep has come.|Ta traa cadlee er jeet.
It was hard on midnight.|V'eh tayrn er y vean oie.
At night time.|Ec yn oie.
At night-time.|Ayns yn oie.
At night.|'Syn oie.
After hours.|Erreish da'n traa.
After dark.|Lurg tuittym ny hoie.
All night.|Fud ny hoie.
Last thing at night.|Yn red jerrinagh 'syn oie.
At dead of night.|Ayns dromm ny hoie.
The middle of the night.|Dromm ny hoie.
**Time of Year|Blein
New Year's Day.|Laa yn Vlein Noa.
New Year's Day.|Laa ny Bleeaney Noa.
It's winter now.|Ta'n geurey ayn nish.
The dead of winter.|Yn doo-gheurey.
During the winter.|Car y gheuree.
In the dead of winter.|'Sy ghoolaght.
In the dead of winter.|Ayns doo-gheurey.
In the deep of winter.|Ayns doolagh y gheuree.
St. Valentine's Day.|Laa'l Valentine.
The weather is like spring.|Ta'n earish goll-rish yn arragh.
We've had no winter this year.|Cha nel geurey erbee er ve ain mleeaney.
Early in the year.|Ayns toshiaght ny bleeaney.
First Sunday in Lent.|Doonaght Innyd.
The first breath of Spring.|Chied ghooishtey yn Arree.
Early Spring.|Arragh gheuree.
The Spring of the year.|Arragh ny bleeaney.
Easter Sunday.|Jelune shiaullee.
Eastertime is the time for eggs.|Ta'n Chaisht traa son oohyn.
Easter is late this year.|Ta'n Chaisht anmagh mleeaney.
The entry into May.|Beeal Voaldyn.
May was in its pride.|Va'n Boaldyn my vlaa.
The month of May.|Mee ny Cooagyn.
The month of May.|Mee ny Boaldyn.
Day of Pentecost.|Doonaght Kingeesh.
From mid May to mid August.|Voish mean Voaldyn gys mean Luanistyn.
St. John's Eve.|Oie'll Eoin.
St. John the Baptist's Day.|Feaill' Eoin.
The days are getting longer.|Ta ny laghyn sheeyney.
St. Swithin's Day.|Laa'l Sushin.
Summer time.|Traa souree.
Summer solstice.|Shass greiney souree.
During the summer.|Car y touree.
No wonder it's so warm, the dog-days are here.|Cha nhyrrys da ve cha cheh, ta ny laghyn-moddee ayn.
In late summer.|Magh ayns jerrey yn touree.
Summer is over.|Ta'n sourey harrish.
The first touches of Autumn.|Ny chied cosoylaghtyn jeh'n Ouyir.
The leaves are already falling.|Ta ny duillagyn hannah tuittym.
The fall of the year.|Yn fouyr.
The fifth of November.|Yn queigoo laa jeh Mee Houney.
The days are getting much shorter.|Ta ny laghyn g'aase lane s'girrey.
Winter is drawing near.|Ta'n geurey tayrn er-gerrey.
Winter has come.|Ta'n geurey er jeet.
The year was wearing to its close.|V'eh tayrn er jerrey ny bleeaney.
I wish it were already Christmas.|Saillym dy beagh yn Ollick hannah ain.
During Yuletide.|Er y Nollick.
To-morrow is Christmas Day.|Ta laa ny vairagh Laa n'Ollick.
Christmas is here.|Ta'n Nollick ayn.
Merry Christmas and a happy new year.|Nollick ghennal as blein vie noa.
New Year's Eve.|Oie Nollick Veg.
New Year's Eve.|Oie ny Bleeaney Noa.
New Year greetings.|Bannaghtyn y Vlein Noa.
End of the year.|Kione ny bleeaney.
**Past|Traaghyn Shaghey
In ancient times.|Ayns shenn traaghyn.
In the distant past.|Foddey 'sy yoin.
In the distant past.|Feer foddey er dy henney.
A long time ago.|Foddey 'sy yoin 'sy yughtee.
Last century.|Yn keead vlein shoh chaie.
It was a good long time ago.|V'eh tammylt mie er dty henney.
In olden times.|Foddey er dy henney.
In olden days.|'Sy chenn earish.
In the days of my grandfather.|Ayns lhing my hennayr.
In former times.|Ayns shenn hraaghyn.
Little more than twenty years ago.|Red beg ny smoo na feed vlein er dy henney.
The year before last.|Arroo y nurree.
A year last March.|Blein roish y Vayrnt shoh chaie.
A year ago to the very day.|Blein er dy henney gys yn laa t'ayn jiu hene.
Last year.|Yn vlein shoh chaie.
Last year.|Nurree.
A while ago.|Tammylt er dy henney.
A while ago.|Vaidjin.
Last month.|Yn vee shoh chaie.
Fortnight ago.|Kegeesh er dy henney.
A week ago.|Shiaghtin jiu.
Last week.|Yn chiaghtin s'jerree.
Last week.|Yn chiaghtyn shoh chaie.
Some days ago.|Kuse dy laghyn er dy henney.
Day before yesterday.|Arroo y jea.
Night before last.|Arroo y riyr.
Yesterday morning.|Moghrey jea.
Yesterday afternoon.|Fastyr jea.
Last night.|Riyr.
Late last evening.|Anmagh er yn oie riyr.
**Ongoing|Er Chosh
At the present.|Ec yn traa t'ayn.
At the present.|Ec yn chooyl.
The present year.|Yn vlein shoh.
This year.|Mleeaney.
All the year round.|Car ny bleeaney.
All the day long.|Feiy'n laa liauyr.
All day long.|Feiy yn laa.
All day.|Feie'n laa.
For the better part of the day.|Son y chooid smoo jeh'n laa.
Day in day out.|Dagh ooilley laa t'ayn.
Day in day out.|Laa ny yei laa.
Day by day.|Laa lurg laa.
Day by day.|Laa er laa elley.
Every day.|Gagh laa.
Every couple of minutes.|Gagh cubbyl dy vinnid.
Every Monday morning.|Gagh moghrey Jelune.
Every few days.|Gagh reggyryn dy laghyn.
Night after night.|Oie er oie.
Every other day.|Dagh ooilley cor laa.
Every second day.|Gagh derrey laa.
Every three days.|Gagh tree laa.
Every other week.|Dagh ooilley cor hiaghtin.
Every other week.|Yn derrey shiaghtin.
Every other Sunday.|Gagh derrey Doonaght.
Every other day.|Yn derrey laa.
Every now and then.|Nish as rish.
**Future|Ry-heet
From this time forth.|Veih'n traa shoh magh.
From this day forward.|Veih'n laa shoh magh.
From tomorrow onwards.|Veih laa ny vairagh magh.
Tonight.|Noght.
Tomorrow morning.|Moghrey ny mairagh.
Tomorrow night.|Oie ny vairagh.
The morning after tomorrow.|Moghrey nuyr.
Day after tomorrow.|Nuyr.
Day after tomorrow.|Laa ny nuyr.
Three days from now.|Tree laghyn voish nish.
The coming week.|Yn shiaghtyn shoh cheet.
The year after next.|Yn vlein ny yei'n vlein ry heet.
In the future.|'Sy traa ta ry-heet.
In the distant future.|'Sy traa liauyr ry heet.
At some future date.|Laa ennagh s'odjey noon.

<EOF>




Excuse me.|Jean my leshtal.
Excuse me.|Gow my leshtal.
Excuse my being late.|Gow my leshtal son ve anmagh.
Good on you.|Noorey vie ort.
Had I but known.|Dy beagh fys er ve aym.
Here is the point.|Shoh'n cheisht.
How kind it is of you.|Cre cha dooie as ta shiu.
If you will only be patient.|My vees oo agh surransagh.
If you were more modest.|Dy beagh oo ny s'fastee.
I've got it.|T'eh aym.
If I am not mistaken.|Mannagh vel marranys orrym.
I'm a fresh hand at this.|Ta mee glass er shoh.
I'll thank you to mind your own affairs.|Cur arrey da dty chooishyn hene my saillt.
I'll tell you in short.|Inshym dhyt ayns beggan focklyn.
I'll tell you exactly.|Inshym dhyt dy kiart.
I'm not going in any case.|Cha nel mee son goll ansherbee.
I'm getting the hang of it now.|T'eh cheet lhiam nish.
I'm getting the hang of it now.|T'eh cheet my laue nish.
I'm getting by.|Ta mee reirey.
I'm in a dream.|Ta slamm orrym.
I'm going to tell you a story now.|Inshym skeeal diu nish.
In so far as I know.|Chouds ta fys aym.
In the literal sense of the word.|Ayns keeall chiart yn 'ockle.
I'll be alright.|Chan aggle dou.
I'll be indulgent this time.|Neeym lhiggey lesh y cheayrt shoh.
I'll do all I possibly can.|Neeym my chooid share.
I'll come directly.|Higym ny sheyn.
I'll do nothing of the sort.|Cha jeanym y lheid er chor erbee.
I'll come anyhow.|Higym ansherbee.
I'll bet you anything you like.|Verym gioal er ooilley ny t'ayn.
I'll be on the ground just now.|Beeym er y thalloo nish hene.
I'll meet you halfway.|Scoltym yn anchaslys mayrt.
I'll make it do.|Neeym jannoo lesh.
I'll never be up here again.|Cha beeym dy bragh heose ayns shoh reesht.
I'll put it into shape.|Verym rick er.
I'll see to everything.|Jeeaghym lurg dagh ooilley nhee.
I'll speak on his behalf.|Loayrym er e hon.
I'll stay longer the next time.|Tanneeym ny sodjey yn keayrt s'niessey.
I'll stick by her.|Neeym shassoo lioree.
I'll step over to his house.|Hem roym da'n thie echey.
I'll slip round to the shops.|Hem roym dy tappee gys ny shappyn.
I'll see you by and by.|Heeym oo ny sheyn.
I'll see you by and by.|Heeym oo dy gerrid.
I'll see you safely through.|Shassym mayrt gys yn jerrey.
I'll show him the way.|Jeeaghym yn raad da.
I'll shove off now.|Hem roym nish.
I'll give him tit for tat.|Yiowym corrym er.
I'll give you an instance.|Verym trow dhyt.
I'll give you a call on the phone.|Loayrym rhyt er y chellvane.
I'll give you a bit of advice.|Shoh my choyrle dhyt.
I'll follow suit.|Neeym myr ren ad roym.
I'll find it.|Yiowym eh.
I'll get it.|Yiowym eh.
I'll give her one.|Verym nane j'ee.
I'll get your stick.|Fowym dty vaidjey.
I'll go along with you on that.|Ta mee mayrt er shen.
I'll have a shot at it.|Verym eab er.
I'll have the best part.|Yiowym yn kione roauyr.
I'll have a warm before the fire.|Gowym chiow ec yn aile.
I'll have a spotful.|By vie lhiam spooytlagh jeh.
I'll handle that.|Neeym shen y yannoo.
I'll go off now.|Hem roym nish.
I'll go with the greatest of pleasure.|Hedym as failt ort.
It is going first rate.|T'eh goll dy mie mirrilagh.
It is for you to judge.|Er dty vriwnys t'eh.
It is for them I did it.|She dauesyn ren mee eh.
It is good to be bold but bad to be too bold.|S'mie dy ve daaney agh s'olk dy ve ro ghaaney.
It is growing dark.|T'eh conghorraghey.
It is difficult to tell them apart.|T'eh doillee dy chur enney orroo veih-my-cheilley.
It is considerably better.|T'eh foddey share.
It is finished.|Ta kione er.
It is fated that I should remain here.|She my chronney eh dy begin dou tannaghtyn ayns shoh.
It is evident enough.|T'eh cronnal dy liooar.
It is evident enough.|T'eh baghtal dy liooar.
It is evident to me.|S'leayr dou.
It is ended and done with.|T'eh jeant as harrish.
It is no use saying that.|Cha neeu eh shen y ghra.
It is not adequate for the job.|Cha nel eh corrym rish yn staartey.
It is not far short of it.|Cha nel eh foddey jeh.
It is not an unmixed blessing.|Ta'n vie as yn olk ayn.
It is much the same.|She'n red cheddin eh.
It is my conviction that he is telling the truth.|She my chredjue dy vel eh ginsh yn irriney.
It is my opinion that it was greatly by deceit.|Er lhiam pene dy by vooar lesh foalsaght eh.
It is my opinion.|Stroo hene.
It is my desire.|She my vian.
It is not for nothing that I mentioned it.|Cha nel eh gyn oyr dy ren mee gimraa eh.
It is nothing less than robbery.|Cha nee ny sloo na roosteyrys t'ayn.
It is not worthwhile.|Cha neeu eh.
It is not worth the trouble.|Cha nel eh feeu yn trubbyl.
It is nothing to me whether he comes or not.|S'cummey lhiam my jig eh ny dyn.
It is of no use.|Cha nel ymmyd erbee ayn.
It is of little value.|S'beg y feeuid t'ayn.
It is of great utility.|Ta foaynoo mooar ayn.
It is not working right.|Cha nel eh gobbragh dy kiart.
It is not our practice.|Cha nel eh yn cliaghtey ain.
It is not possible to do it.|T'eh do-yannoo.
It is not to be equalled.|Cha nel cormid rish ayn 'sy theihll.
It is not so very small.|Cha nel eh cha beg as ooilley shen.
It is in great demand.|Ta aggyrts mooar er.
It is in good repair.|Ta oardagh mie er.
It is in full swing.|T'eh fo lane raad.
It is in bad taste.|Cha nel eh cooie.
It is in my possession.|T'eh aym.
It is in my possession.|T'eh ayns my helloo.
It is merely a question of time.|Hig eh lesh traa.
It is later than I thought.|T'eh ny s'anmagh na heill mee.
It is known to me.|Shione dou eh.
It has been truly stated.|T'eh er ve raait, as s'feer eh.
It has got to be done.|Shegin da goll y jannoo.
It interferes with my work.|T'eh cur stiagh er my obbyr.
It goes against my conscience.|T'eh noi'n chooinsheanse aym.
It goes without saying.|Ta fys ec y theihll er.
It gives me the horrors.|T'eh cur my chree er chraa.
It gives me great pleasure to be introduced to you.|T'eh cur lane taitnys dou dy ve currit er enney diu.
It gives me the fidgets.|T'eh cur ny foostyragh orrym.
It gives me satisfaction.|S'taittin lhiam eh.
It has been of material service to me.|Hooar mee shirveish vooar ass.
It has been done previously.|T'eh er ve jeant roie.
It grows on you.|T'eh goaill greim ort.
It grieves me to say this.|S'olk lhiam gra shoh.
It grew well.|Daase eh dy mie.
It grows rarer.|T'eh goll ny s'tiarkey.
It happened.|Haghyr eh.
It is best to leave off now.|Share faagail jeh nish.
It is beyond compare.|Cha nel cosoylaghey ayn.
It is authorized by custom.|She rere cliaghtey eh.
It is becoming a worry to me.|T'eh cheet dy ve ny voirey dou.
It is beyond expression.|T'eh do-insh.
It is close at hand.|T'eh feer faggys.
It is a subject of much speculation.|Ta mooarane sheiltynys er.
It is a well known truth.|She firrinys dy mie er fys eh.
It is a wonder that he came.|Shyrrys dy daink eh.
It is a west wind.|Ta geay neear ayn.
It is a solemn fact that it is so.|S'feer as trome-chooishagh eh dy vel eh myr shen.
It is a nightmare to me.|T'eh myr tromlhie dou.
It is a nightmare to me.|Ta mee ass my cheeayll echey.
It is a long story.|Skeeal mooar liauyr t'ayn.
It is a sober fact.|She firrinys lhome eh.
It is absolutely necessary.|T'eh slane ymmyrchagh.
It is all talk.|Cha nel eh agh caaynt.
It is an age since I saw you.|She tammylt liauyr neayr's honnick mee oo.
It is acceptable to me.|S'taittin lhiam eh.
It is absolutely necessary.|T'eh ymmyrchagh er dagh ooilley chor.
It makes no matter.|S'cummey.
It makes no difference to me.|S'cummey dou.
It makes me shudder.|T'eh cur er creau mee.
It made me shudder.|Hug eh orrym craa.
It makes no odds.|S'cummey.
It mirrors him well.|T'eh cur reayrt mie jeh.
It made me grey haired.|Hug eh lheeaghys orrym.
It made me sweat.|Hug eh magh yn ollish orrym.
It made my flesh creep.|Hug eh grayn orrym.
It made me wonder.|Hug eh yindys orrym.
It prepossesses me.|T'eh dy my lhieeney.
It proved a bonanza.|Va'n aigh ny roie ayn.
It proved a bonanza.|Va airh er ny cushagyn.
It must come to that.|Hig shen er.
It is your own arrangement.|She dty reir hene eh.
It is you I am speaking to.|Rhyts ta mee loayrt.
It is yours for the asking.|Cha nel eh ort agh eh y yeearree.
It jars on me.|T'eh boirey orrym.
It isn't half bad.|T'eh cossylagh.
It isn't half bad.|Cha nel eh cho olk as shen edyr.
